,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid,Lobular_collapse,Interface_hepatitis,Confluent_necrosis,Ln_ap_ri,Portal_inflammation,BD_hyperplasia,Fibrosis,TawfikTotal,Vessels,Vacuol,Pigment,Mean_hep_size,Std_hep_size,Min_hep_size,Max_hep_size
14,3.0,150.0,0.18612982579096404,0.5317612178585256,12.0,670.0833333333334,31.0,0.17029728303375286,0.2988669038801026,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
15,3.0,81.0,0.09540347302709927,0.5840236300167074,6.0,894.1666666666665,31.0,0.21976548917878092,0.3112268316525048,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
16,3.0,4.0,0.1410418396302443,0.5674426595543548,5.0,665.0,31.0,0.2660348602931661,0.3058856790690957,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
17,3.0,36.0,0.1459221554398241,0.5242983635371686,6.0,603.3333333333334,31.0,0.273154648887049,0.2580548882579894,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
18,3.0,63.0,0.11761145885806665,0.5614702538080618,8.0,805.25,33.0,0.2798664758380612,0.28889371229204097,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
19,3.0,64.0,0.15358598164317425,0.536048924348258,7.0,378.1428571428572,31.0,0.21275347780848256,0.2711185283828397,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
20,3.0,82.0,0.1213338630851301,0.5840796815121417,10.0,492.6,31.0,0.2559563778097305,0.3162406853550971,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
21,3.0,102.0,0.13414562344581227,0.5727775338580162,6.0,373.5,31.0,0.2337105085358736,0.3172696742759874,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
22,3.0,118.0,0.1025317903752542,0.5816865934187101,6.0,458.16666666666674,31.0,0.17900421226477306,0.3129310052145016,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
23,3.0,129.0,0.13179601112105407,0.5425093762161017,11.0,634.0909090909091,31.0,0.24727284483558026,0.2664473139960313,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
24,3.0,151.0,0.1612084486013534,0.5153648490106911,9.0,501.22222222222223,33.0,0.20715540446448644,0.26097343894076297,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
25,3.0,18.0,0.11413857039668908,0.5427183143226069,9.0,748.2222222222223,31.0,0.2511879902279962,0.2734059845224343,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
26,3.0,116.0,0.16375889936053775,0.5346058400523257,12.0,549.0833333333334,31.0,0.16724554616211598,0.2765181165669404,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
27,3.0,141.0,0.13598920676540507,0.5575807353373881,4.0,750.25,31.0,0.08894610096832363,0.3023048554363165,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
28,3.0,79.0,0.10726207715436777,0.5411920880535003,10.0,544.0,31.0,0.2328000732212082,0.2660596755207534,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
29,3.0,2.0,0.14329532783560686,0.5592233339515171,8.0,498.625,31.0,0.2017659409235472,0.2947839787537828,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
30,3.0,65.0,0.1553239425602425,0.5704176758343842,10.0,618.5,31.0,0.22025603349896425,0.3129664436364253,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
31,3.0,34.0,0.15268696790075922,0.5694215026101318,7.0,706.0,29.0,0.192256392305631,0.3163994473505431,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
32,3.0,101.0,0.1043424068287483,0.5577899420692498,12.0,380.25,31.0,0.2940887545592457,0.2820730314263594,0.0,0.0,0,0.0,3.0,0.0,2.0,5.0,congested,no,minimum,25.21,3.01,22.29,30.86
