,Sheep,Image,Scale,Directionality
0,1,21,7.0,0.08431726818022708
1,1,40,8.0,0.24299131121728426
2,1,10,8.0,0.1970565936794468
3,1,53,8.0,0.15174124533355
4,1,64,8.0,0.21969402442644334
5,1,35,7.0,0.14852948358248297
6,1,22,8.0,0.06978938060189459
7,1,37,8.0,0.2418245284721016
8,1,24,7.0,0.1329588994625573
9,1,2,8.0,0.21189681606743713
10,1,39,8.0,0.24389588617071373
11,1,38,8.0,0.23791629915057097
12,2,3,8.0,0.2897518815560243
13,2,1,8.0,0.32385509855284283
14,3,78,8.0,0.22231167577638175
15,3,19,8.0,0.21206794434325033
16,3,100,8.0,0.27338551315769566
17,3,4,8.0,0.2700556369822388
18,3,1,7.0,0.17634256043122973
19,3,130,8.0,0.1465408221612991
20,3,18,8.0,0.2649328984412456
21,3,116,8.0,0.17424510305349103
22,3,141,8.0,0.09529901746304799
23,3,20,8.0,0.23319736812546177
24,3,151,8.0,0.20728251994918734
25,3,99,8.0,0.2526005941316161
26,3,115,8.0,0.19244639049483575
27,3,79,8.0,0.23705795237246857
28,3,80,8.0,0.27622374882296563
29,3,117,8.0,0.14357913244982998
30,3,2,8.0,0.2069805101060984
31,3,63,8.0,0.2720225016699161
32,3,64,8.0,0.2167735436556827
33,3,82,8.0,0.2619168493004343
34,3,33,8.0,0.29174268429326483
35,3,140,8.0,0.1291000394261263
36,3,53,8.0,0.19635465009935052
37,3,81,8.0,0.22757499514095916
38,3,98,8.0,0.23349348443224163
39,3,142,8.0,0.1310165597324972
40,3,150,8.0,0.16876400061580207
41,3,65,8.0,0.22646999575700247
42,3,101,8.0,0.3018798057526783
43,3,102,8.0,0.24578411769365005
44,3,131,8.0,0.1358125026461291
45,3,118,8.0,0.18460045966448738
46,3,129,8.0,0.2600655780688758
47,3,36,8.0,0.2795400773240126
48,3,34,7.0,0.1820238660823243
49,3,35,8.0,0.2090273466259368
50,3,51,8.0,0.20074015719562754
51,3,52,8.0,0.1813127148858636
52,3,50,8.0,0.22157122973970625
53,3,77,8.0,0.2650714213533237
54,3,3,7.0,0.2461750343531612
55,4,128,9.0,0.26107054968277327
56,4,111,9.0,0.2113289393659271
57,4,34,8.0,0.18096018953143111
58,4,45,9.0,0.25881469418988134
59,4,74,9.0,0.3940553291447063
60,4,112,9.0,0.1583407316909247
61,4,126,9.0,0.20127913342985734
62,4,73,8.0,0.269791987713081
63,4,72,8.0,0.3869749674140612
64,4,88,9.0,0.2272341985973853
65,4,113,8.0,0.08123897357891788
66,4,85,9.0,0.2768076520650365
67,4,99,9.0,0.25386139798967866
68,4,2,9.0,0.28073368245626995
69,4,1,9.0,0.3023573380042803
70,4,125,9.0,0.22483440347484468
71,4,12,9.0,0.14715972538437344
72,4,87,9.0,0.17096701128028194
73,4,127,9.0,0.18602599777872209
74,4,60,9.0,0.2041462773154073
75,4,46,9.0,0.11293869607593782
76,4,71,8.0,0.24476011239645748
77,4,47,9.0,0.1775284555487891
78,4,59,9.0,0.25342372477972397
79,4,13,9.0,0.13979411003028847
80,4,86,9.0,0.2401624858814716
81,6,130,8.0,0.22639951816358525
82,6,32,8.0,0.1593759964326981
83,6,156,8.0,0.1402537988203121
84,6,49,8.0,0.05978112116462455
85,6,76,9.0,0.17073836681586094
86,6,22,8.0,0.07450807344360591
87,6,143,8.0,0.1682876625121442
88,6,118,8.0,0.17963082700379335
89,6,2,8.0,0.1422993076155284
90,6,1,8.0,0.19605298795374343
91,6,3,8.0,0.1258040118445317
92,6,60,8.0,0.1851036644655307
93,6,57,8.0,0.2395671129293855
94,6,58,8.0,0.17663989359845708
95,6,72,8.0,0.14739743281640952
96,6,20,8.0,0.06708352304321362
97,6,132,8.0,0.2013764124612822
98,6,89,8.0,0.19381829371553344
99,6,77,8.0,0.034079596803762616
100,6,145,7.0,0.18284390801816652
101,6,115,8.0,0.23186582259350427
102,6,144,8.0,0.1282589340834577
103,6,101,8.0,0.14695822328652072
104,6,18,8.0,0.14716061631053914
105,6,61,8.0,0.11235859733458677
106,6,157,8.0,0.1020080315145923
