,Sheep,Image,Entropy
0,1,35,0.5532367392623191
1,1,10,0.5328420653626399
2,1,22,0.5338408044779573
3,1,38,0.5475387297407449
4,1,37,0.5563869916490087
5,1,21,0.5664612908157886
6,1,2,0.5620760542879568
7,1,24,0.5332330690739626
8,1,39,0.5391691860102402
9,1,40,0.5619390060214551
10,1,53,0.5196168611967618
11,1,64,0.546389579827703
12,2,1,0.5254068634917642
13,2,3,0.5535361702093426
14,3,150,0.5317612178585256
15,3,81,0.5840236300167074
16,3,4,0.5674426595543548
17,3,36,0.5242983635371686
18,3,63,0.5614702538080618
19,3,64,0.536048924348258
20,3,82,0.5840796815121417
21,3,102,0.5727775338580162
22,3,118,0.5816865934187101
23,3,129,0.5425093762161017
24,3,151,0.5153648490106911
25,3,18,0.5427183143226069
26,3,116,0.5346058400523257
27,3,141,0.5575807353373881
28,3,79,0.5411920880535003
29,3,2,0.5592233339515171
30,3,65,0.5704176758343842
31,3,34,0.5694215026101318
32,3,101,0.5577899420692498
33,3,35,0.5697883164555256
34,3,80,0.5308527286533672
35,3,51,0.5534674770386371
36,3,52,0.6024784802881098
37,3,117,0.5673747654287148
38,3,3,0.5483853345066916
39,3,19,0.5693499615906836
40,3,50,0.5812541928186514
41,3,78,0.6029630275294213
42,3,77,0.5776235301079334
43,3,100,0.5863167083318159
44,3,1,0.5703741545533605
45,3,115,0.5520612251347728
46,3,130,0.5475486229656726
47,3,53,0.5714504573124963
48,3,98,0.5535694176022798
49,3,142,0.5509897745390048
50,3,33,0.5807852793905701
51,3,99,0.5817741593726631
52,3,20,0.538948127878985
53,3,140,0.5445050225339689
54,3,131,0.5782808155216744
55,4,112,0.5734695407262504
56,4,34,0.6038417863017287
57,4,45,0.5727039774651986
58,4,2,0.5405391159949597
59,4,87,0.5925957704681747
60,4,13,0.5795046708134594
61,4,86,0.6037346827473988
62,4,85,0.5738435435856164
63,4,73,0.6012891902068804
64,4,47,0.5328137005529199
65,4,113,0.5891050411124779
66,4,60,0.5907114909185216
67,4,72,0.5366410524292816
68,4,1,0.580125695555679
69,4,125,0.5810832946457611
70,4,12,0.5854301831312589
71,4,46,0.5966000481916772
72,4,128,0.5475139389585013
73,4,126,0.5528710081293849
74,4,99,0.5844337485733516
75,4,111,0.5879337245043559
76,4,71,0.5902261520258276
77,4,127,0.5854547190184289
78,4,88,0.5773202083809691
79,4,74,0.5626135436969787
80,4,59,0.5807401565693349
81,6,32,0.6034737824861999
82,6,145,0.6235785125712643
83,6,46,0.6094449070575595
84,6,102,0.6196976078653371
85,6,91,0.5936467324183667
86,6,57,0.6145352761891495
87,6,1,0.5973746561642191
88,6,58,0.5997688499664613
89,6,143,0.5730834681644885
90,6,59,0.59107240389576
91,6,19,0.6161585860126758
92,6,72,0.609857714606119
93,6,74,0.6173963455732798
94,6,104,0.6121455097609327
95,6,61,0.5724089564539705
96,6,117,0.603459986912698
97,6,157,0.563365270400385
98,6,130,0.5705210540588962
99,6,156,0.5914589752808184
100,6,90,0.6274430626480626
101,6,116,0.6062000170744342
102,6,35,0.6048896528120773
103,6,88,0.6110372450226615
104,6,20,0.6044855119805029
105,6,48,0.611989100434073
106,6,6,0.6027662000941452
107,6,2,0.6044619641296486
108,6,132,0.5824540195661587
109,6,3,0.5853959363978778
110,6,60,0.6024920013211236
111,6,4,0.5891877646023815
112,6,18,0.6197733709240123
113,6,77,0.5934304788775793
114,6,5,0.6043645572052531
115,6,34,0.6093164092256647
116,6,131,0.5819541547886256
117,6,49,0.5899108034802356
118,6,17,0.6115898584263505
119,6,115,0.6004973027707692
120,6,22,0.6075423361856956
121,6,144,0.5913386402813903
122,6,21,0.6071973365958372
123,6,56,0.6094449659848789
124,6,89,0.6239961923539337
125,6,76,0.6002590269456869
126,6,101,0.6035212459052608
127,6,103,0.5904778738586134
128,6,33,0.6227575822727425
129,6,73,0.6200878665189123
130,6,118,0.6021875627643956
131,7,97,0.612221316931181
132,7,74,0.6002025402261286
133,7,50,0.6154372345947834
134,7,2,0.6169650143581167
135,7,39,0.6000680342828637
136,7,49,0.6134215115663278
137,7,65,0.6170404502753022
138,7,15,0.6023474737401273
139,7,51,0.6009933335344526
140,7,99,0.6128305911513148
141,7,31,0.598088315689568
142,7,14,0.6078145842655447
143,7,64,0.6114099470113831
144,7,96,0.6109984184831188
145,7,87,0.5975552510556552
146,7,52,0.6199843649891974
147,7,98,0.6057104308487449
148,7,1,0.6099380472936878
149,7,75,0.602762708841577
150,8,40,0.6157893838602295
151,8,1,0.6203801288996512
152,8,1,0.5912459752813204
153,8,18,0.6116307578713667
154,8,11,0.6201694901729162
155,8,46,0.6341103773563468
156,8,39,0.6377424585854548
157,8,19,0.6253721950613025
158,8,47,0.630830725053701
159,8,27,0.6202235497287674
160,8,29,0.6073586100020483
161,8,28,0.6128421499623911
162,9,6,0.6434741394135056
163,9,12,0.6418450912330604
164,9,2,0.6480173547963901
165,9,1,0.6457490772531387
166,9,20,0.6479169133201694
167,10,35,0.6043979944999774
168,10,49,0.6325719068893274
169,10,59,0.5878485321107885
170,10,58,0.6008485241919679
171,11,64,0.572432841047481
172,11,144,0.5457047304844729
173,11,159,0.5428501921488835
174,11,20,0.6093771365896561
175,11,34,0.5638534016077217
176,11,62,0.5649164714384057
177,11,131,0.545146410632188
178,11,93,0.5828547687584097
179,11,78,0.5535102191496434
180,11,63,0.5740033156977846
181,11,161,0.5629546015473257
182,11,48,0.5758726427229662
183,11,92,0.5863288073634029
184,11,49,0.5905165115608819
185,11,121,0.5778881541700637
186,11,32,0.5919654848562192
187,11,143,0.5856263363362213
188,11,145,0.5225104478450061
189,11,106,0.5466585141900693
190,11,162,0.543132558432218
191,11,94,0.6139100042686424
192,11,160,0.5421595194359394
193,11,108,0.5916096332487764
194,11,18,0.5978919956869911
195,11,2,0.5663208115586205
196,11,120,0.6129232443144441
197,11,21,0.5872765210690869
