,Sheep,Image,Count,meanSize,stdSize
0,1,35,2,639.0,90.0
1,1,10,1,285.0,0.0
2,1,22,2,483.5,146.5
3,1,38,1,981.0,0.0
4,1,37,1,342.0,0.0
5,1,21,5,455.2,103.53627383675732
6,1,2,4,493.5,228.15619649704894
7,1,24,6,460.8333333333333,171.99846575543114
8,1,39,0,,
9,1,40,1,1050.0,0.0
10,1,53,1,395.0,0.0
11,1,64,2,365.0,14.0
12,2,1,11,1697.6363636363637,1692.25622779054
13,2,3,11,1082.8181818181818,947.5302651133552
14,3,150,12,670.0833333333334,304.17962301172565
15,3,81,6,894.1666666666666,642.4721567680753
16,3,4,5,665.0,314.4181928578561
17,3,36,6,603.3333333333334,342.5252626530714
18,3,63,8,805.25,458.7536784593667
19,3,64,7,378.14285714285717,113.5485152087972
20,3,82,10,492.6,175.99499992897526
21,3,102,6,373.5,146.0693328525875
22,3,118,6,458.1666666666667,354.52664059120985
23,3,129,11,634.0909090909091,583.3801901684627
24,3,151,9,501.22222222222223,372.4145771636103
25,3,18,9,748.2222222222222,470.1039548813238
26,3,116,12,549.0833333333334,366.05952574532034
27,3,141,4,750.25,576.5472118569303
28,3,79,10,544.0,238.68095860373947
29,3,2,8,498.625,262.07247923999955
30,3,65,10,618.5,339.7649923108618
31,3,34,7,706.0,514.8006549002383
32,3,101,12,380.25,91.45228719574669
33,3,35,8,379.25,136.39258594219848
34,3,80,3,1236.6666666666667,140.95231660230192
35,3,51,9,705.4444444444445,286.93712478563475
36,3,52,14,859.5,473.44297439079185
37,3,117,8,639.0,430.9849185296395
38,3,3,14,603.1428571428571,375.81964845290526
39,3,19,9,834.0,530.9883865647786
40,3,50,10,872.3,791.4848134992862
41,3,78,10,502.1,270.2208171107474
42,3,77,9,444.6666666666667,209.61234060363273
43,3,100,8,1182.875,1105.8456535045927
44,3,1,4,847.0,379.77295848967447
45,3,115,10,456.8,160.39376546487085
46,3,130,7,543.5714285714286,195.49414104692107
47,3,53,7,599.8571428571429,295.00626074297304
48,3,98,13,532.0,388.2338708324384
49,3,142,10,958.3,848.1858345905099
50,3,33,8,535.875,222.4951895547407
51,3,99,7,557.2857142857143,391.2418741413458
52,3,20,9,485.6666666666667,192.871863047868
53,3,140,7,533.8571428571429,233.27141063664052
54,3,131,11,583.1818181818181,456.9469470263416
55,4,112,10,3093.5,3226.8732001738153
56,4,34,13,2454.6923076923076,1922.410601487117
57,4,45,12,2570.1666666666665,1695.6963089604878
58,4,2,10,3960.7,3112.5771010530807
59,4,87,20,1389.4,1413.0119744715541
60,4,13,18,2117.777777777778,1574.3579486944145
61,4,86,12,3169.75,4057.2624006218775
62,4,85,9,977.0,498.7216992806041
63,4,73,13,2992.0,2441.113144574701
64,4,47,11,2277.5454545454545,893.7754816340889
65,4,113,17,1900.3529411764705,1626.336335274019
66,4,60,14,2699.6428571428573,2213.5463661974927
67,4,72,15,1103.0666666666666,879.6978622736838
68,4,1,19,1593.0526315789473,1529.541502462824
69,4,125,12,2564.6666666666665,3177.4360558300596
70,4,12,12,1994.1666666666667,1904.394209599356
71,4,46,15,2540.2,1999.979539895346
72,4,128,10,2156.7,1465.2160284408576
73,4,126,15,1406.0,1080.1972659349465
74,4,99,12,2128.9166666666665,1700.4765733137544
75,4,111,12,1960.3333333333333,1442.5525024144608
76,4,71,18,2296.222222222222,1434.552952260566
77,4,127,14,2521.5,1507.834338664942
78,4,88,14,2442.214285714286,1615.1332177948946
79,4,74,14,2116.6428571428573,1768.7412637701605
80,4,59,13,2209.923076923077,1419.2550300198643
81,6,32,10,863.7,540.3154726638872
82,6,145,15,855.6666666666666,457.20479243138107
83,6,46,4,363.5,104.84870051650617
84,6,102,10,487.5,210.00726177920612
85,6,91,10,775.6,267.646856884216
86,6,57,10,1055.7,1130.7566537500454
87,6,1,7,719.4285714285714,276.53253858806414
88,6,58,13,871.2307692307693,304.3654569115009
89,6,143,5,1738.4,1837.7569589039786
90,6,59,10,613.4,215.83614155187263
91,6,19,12,768.0833333333334,460.0341397355442
92,6,72,9,856.8888888888889,598.7344884456891
93,6,74,8,1799.5,1217.6611802960624
94,6,104,12,1163.6666666666667,843.9666594257276
95,6,61,9,677.0,317.53914894247464
96,6,117,9,1461.7777777777778,959.2317270466191
97,6,157,12,544.6666666666666,227.710098346316
98,6,130,10,1061.6,817.472959797448
99,6,156,17,603.2352941176471,388.55759349188844
100,6,90,14,1115.5714285714287,1245.6554622415642
101,6,116,16,1443.6875,1317.9877521599926
102,6,35,15,1375.6,861.5563282030181
103,6,88,9,557.3333333333334,305.37517908304204
104,6,20,6,658.8333333333334,281.0287154169283
105,6,48,9,763.4444444444445,541.7164307624652
106,6,6,12,1006.6666666666666,685.5805731073643
107,6,2,11,1238.0,1103.710353967265
108,6,132,11,1549.909090909091,1165.1674444275034
109,6,3,9,706.0,454.16223239425506
110,6,60,9,1275.4444444444443,1356.177234493348
111,6,4,8,723.125,409.99037717366
112,6,18,7,755.0,559.283725593983
113,6,77,11,888.1818181818181,522.344856163369
114,6,5,7,1443.5714285714287,918.8021483187237
115,6,34,7,2058.4285714285716,1238.9058372085376
116,6,131,14,1245.5714285714287,563.2795188239411
117,6,49,10,614.2,371.158672268344
118,6,17,7,643.8571428571429,188.08693170327123
119,6,115,5,1067.8,697.4893260832025
120,6,22,11,1134.7272727272727,790.9405322904086
121,6,144,14,1255.9285714285713,1031.0185992700697
122,6,21,8,886.875,625.9401803487295
123,6,56,10,886.9,554.6890029557103
124,6,89,9,915.8888888888889,1027.3916752246867
125,6,76,10,505.1,251.50326041624191
126,6,101,11,791.7272727272727,522.5998105467232
127,6,103,9,954.5555555555555,696.5143551381983
128,6,33,15,1022.5333333333333,663.1473307057958
129,6,73,9,2189.5555555555557,3229.445123000101
130,6,118,8,1119.125,619.7560886147065
131,7,97,10,1447.3,1157.4231767162778
132,7,74,10,1632.5,1136.1296800981831
133,7,50,8,1409.5,1326.5179041385004
134,7,2,10,1459.3,1237.370037620113
135,7,39,11,1524.8181818181818,1504.0321453396123
136,7,49,9,2735.1111111111113,3197.982678170184
137,7,65,6,1995.6666666666667,2207.6819416654102
138,7,15,5,2454.2,3301.5865519474123
139,7,51,9,1037.7777777777778,646.4815504418733
140,7,99,15,1385.1333333333334,2356.5925363164124
141,7,31,11,2313.2727272727275,2018.531198259543
142,7,14,12,1298.25,1467.3492043477586
143,7,64,11,1144.3636363636363,898.6785523733543
144,7,96,10,1295.1,1688.6553496791462
145,7,87,10,1923.9,1565.740939619323
146,7,52,11,1967.090909090909,1792.509285105682
147,7,98,13,842.0,719.0687353472171
148,7,1,6,1179.8333333333333,774.6283876084641
149,7,75,11,1261.3636363636363,1339.8772177620178
150,8,40,7,1602.142857142857,2039.3073353870095
151,8,1,14,1002.2142857142857,758.1883650774229
152,8,1,18,1060.4444444444443,864.1872367993603
153,8,18,12,1074.4166666666667,1044.650855416403
154,8,11,10,614.8,236.20364095415633
155,8,46,13,899.3846153846154,694.2586016155362
156,8,39,10,2021.4,1580.110515122281
157,8,19,9,1832.888888888889,1321.9779326149842
158,8,47,10,1259.4,751.8170256119503
159,8,27,11,987.9090909090909,888.113266173701
160,8,29,10,664.7,317.8383394117204
161,8,28,9,1431.7777777777778,1218.9847121252428
162,9,6,13,950.0769230769231,613.0994977023225
163,9,12,21,650.5714285714286,401.33023706627625
164,9,2,14,806.0,486.44145147621384
