,Sheep,Image,Scale,Directionality
0,1,35,29,0.14415927573553544
1,1,10,31,0.1864102512332583
2,1,22,31,0.06278294215358933
3,1,38,31,0.230397290780581
4,1,37,31,0.22733137163808062
5,1,21,29,0.07636181218030984
6,1,2,31,0.20142813322062864
7,1,24,29,0.12513202107252325
8,1,39,31,0.2359808181750083
9,1,40,31,0.22758106998218958
10,1,53,31,0.14279483909618754
11,1,64,31,0.20817630441389975
12,2,1,33,0.33243679316827185
13,2,3,33,0.2932707675993374
14,3,150,31,0.17029728303375286
15,3,81,31,0.21976548917878097
16,3,4,31,0.26603486029316614
17,3,36,31,0.273154648887049
18,3,63,33,0.2798664758380612
19,3,64,31,0.21275347780848258
20,3,82,31,0.2559563778097305
21,3,102,31,0.23371050853587358
22,3,118,31,0.179004212264773
23,3,129,31,0.24727284483558024
24,3,151,33,0.20715540446448644
25,3,18,31,0.2511879902279962
26,3,116,31,0.16724554616211598
27,3,141,31,0.08894610096832362
28,3,79,31,0.23280007322120821
29,3,2,31,0.2017659409235472
30,3,65,31,0.22025603349896422
31,3,34,29,0.192256392305631
32,3,101,31,0.2940887545592457
33,3,35,31,0.20422731339764896
34,3,80,31,0.27206702359256035
35,3,51,31,0.19676600842664627
36,3,52,31,0.1743251056645297
37,3,117,31,0.1362008912583407
38,3,3,29,0.24552073133460128
39,3,19,31,0.20752830416609291
40,3,50,31,0.20936438657416231
41,3,78,31,0.21196819357771604
42,3,77,31,0.2584113199703932
43,3,100,31,0.26405490040538443
44,3,1,29,0.18204535175992245
45,3,115,33,0.19736789845199354
46,3,130,31,0.13855311395999526
47,3,53,31,0.18655156588975724
48,3,98,31,0.22765365568860552
49,3,142,31,0.12420287785510777
50,3,33,33,0.3053508930258087
51,3,99,31,0.24524616961285856
52,3,20,31,0.23141963041163816
53,3,140,33,0.13244863510554403
54,3,131,31,0.12842781557905195
55,4,112,35,0.148926960273205
56,4,34,33,0.1787627570672151
57,4,45,37,0.26923813360002385
58,4,2,35,0.28159341337454
59,4,87,35,0.1627116538473474
60,4,13,35,0.13071610637920072
61,4,86,35,0.23542724828555836
62,4,85,37,0.27175007679533514
63,4,73,33,0.2646571098541991
64,4,47,35,0.16572500593371942
65,4,113,33,0.0821523875386944
66,4,60,35,0.20188486805993142
67,4,72,33,0.37747466979582633
68,4,1,35,0.29938448377106575
69,4,125,37,0.23235442139363893
70,4,12,35,0.13071234942449117
71,4,46,35,0.10894412441322068
72,4,128,37,0.2621861980069528
73,4,126,37,0.20185955877076747
74,4,99,37,0.25663626967590203
75,4,111,37,0.21628972507366304
76,4,71,33,0.24096413605234682
77,4,127,35,0.1819115767101118
78,4,88,35,0.21650488613921387
79,4,74,35,0.3742237571140957
80,4,59,35,0.2463959353791477
81,6,32,33,0.15110034463844657
82,6,145,29,0.1838660142943362
83,6,46,31,0.1232778154152763
84,6,102,31,0.19155474125053631
85,6,91,31,0.13505827555857994
86,6,57,31,0.24917918001720718
87,6,1,33,0.18621417074189048
88,6,58,33,0.16633928403416304
89,6,143,31,0.16997858607182792
90,6,59,33,0.10638959578664425
91,6,19,33,0.17130232891586553
92,6,72,33,0.13648406940918595
93,6,74,33,0.12499225304611965
94,6,104,33,0.10622448681829273
95,6,61,33,0.11396086468422366
96,6,117,31,0.18745952998177884
97,6,157,33,0.09762698169391595
98,6,130,31,0.225508228260236
99,6,156,31,0.14054926741254803
100,6,90,31,0.14053478588093699
101,6,116,33,0.24274102279810333
102,6,35,33,0.14087134041254754
103,6,88,31,0.1323000594626222
104,6,20,31,0.06934836184140772
105,6,48,33,0.18450102128625293
106,6,6,35,0.2498188877243443
107,6,2,33,0.13570305588402437
108,6,132,31,0.20270285143776615
109,6,3,31,0.1345648504731879
110,6,60,33,0.18512603915655226
111,6,4,33,0.07435224520821608
112,6,18,33,0.1484414897484862
113,6,77,31,0.02928754074885498
114,6,5,33,0.08893197567922931
115,6,34,33,0.09544658235043421
116,6,131,31,0.2878672167901415
117,6,49,33,0.05400880241594861
118,6,17,31,0.1298065783170883
119,6,115,33,0.2351709149957723
120,6,22,33,0.07835313325623611
121,6,144,31,0.12831603006039996
122,6,21,33,0.024902311927410756
123,6,56,33,0.1867416293856422
124,6,89,31,0.2037904800135538
125,6,76,35,0.16135345723497294
126,6,101,33,0.1511276730331753
127,6,103,33,0.10633897370911495
128,6,33,31,0.22727621002062343
129,6,73,31,0.21982164275600047
130,6,118,31,0.17928415735845968
131,7,97,35,0.279643357595277
132,7,74,35,0.25270988426579244
133,7,50,35,0.29559553104499536
134,7,2,35,0.304171220649871
135,7,39,35,0.2745241437893564
136,7,49,37,0.3091494096606308
137,7,65,35,0.3087897715082489
138,7,15,35,0.3131296315458854
139,7,51,35,0.3588035739585679
140,7,99,37,0.34656116387339053
141,7,31,35,0.31829850107197355
142,7,14,35,0.3656973754654121
143,7,64,35,0.349086838875887
144,7,96,35,0.3129867861259429
145,7,87,35,0.24495729744893113
146,7,52,37,0.32013189767979683
147,7,98,37,0.38676254168797336
148,7,1,35,0.24998072043279546
149,7,75,35,0.24027156182242268
150,8,40,31,0.195485799882588
151,8,1,39,0.5282428229979195
152,8,1,31,0.20848655594936305
153,8,18,31,0.22174143992968612
154,8,11,43,0.6322556309466695
155,8,46,39,0.48961913977172467
156,8,39,29,0.17607206540631604
157,8,19,39,0.5053195094991771
158,8,47,39,0.45564757326113464
159,8,27,41,0.5758079618416967
160,8,29,41,0.612142791015442
161,8,28,43,0.6442088758725086
162,9,6,39,0.35547275042883336
163,9,12,43,0.546619989012379
164,9,2,53,0.5611324415585314
165,9,1,41,0.3982526457553522
166,9,20,41,0.39563331329007284
167,10,35,37,0.2732379258414153
168,10,49,39,0.3964150214116083
169,10,59,37,0.24099195846301444
170,10,58,39,0.26471327895383767
171,11,64,33,0.17578628342829297
172,11,144,33,0.1430073463866254
173,11,159,35,0.16525136545149366
174,11,20,33,0.19115099134133673
175,11,34,33,0.08419840371789998
176,11,62,33,0.1709096531574862
177,11,131,33,0.0628477015148575
178,11,93,33,0.06402165445497836
179,11,78,33,0.12616125542966133
180,11,63,33,0.13419080293241922
181,11,161,35,0.07837955087062777
182,11,48,33,0.2032861020784617
183,11,92,35,0.1556304562758808
184,11,49,33,0.2702829257127323
185,11,121,33,0.11941769787572508
186,11,32,33,0.12163943313670303
187,11,143,33,0.10294830672522524
188,11,145,33,0.0955400255076389
189,11,106,35,0.20388747066710766
190,11,162,35,0.17432274338357598
191,11,94,35,0.25945662347127657
192,11,160,35,0.1449595325564506
193,11,108,33,0.10686373588246584
194,11,18,33,0.08204756860528668
195,11,2,33,0.10531529539799299
196,11,120,35,0.1256819604326537
197,11,21,33,0.12028943437367119
198,11,33,33,0.11771106290034229
199,11,1,35,0.16543142261187066
200,11,19,33,0.10369523694407433
201,11,77,33,0.12348373048196587
202,11,4,33,0.10027670790844712
203,11,35,33,0.058168676211449534
204,11,79,35,0.2364282948737996
205,11,107,35,0.15152105118573553
206,11,47,33,0.11117876095622468
207,11,3,33,0.11804356517987011
208,12,118,31,0.26985019211383343
209,12,69,33,0.32446632072600334
210,12,141,33,0.2539449964433138
211,12,80,33,0.3349687919335415
212,12,116,33,0.24840317741221166
213,12,167,25,0.1833794908488716
214,12,150,35,0.3208809016748369
215,12,152,31,0.3070785570296348
216,12,165,33,0.3459888593684801
217,12,71,29,0.279389396007705
