,Sheep,Image,Lacunarity,Entropy,FociCount,FociSize,Scale,Directionality,TissueToSinusoid
0,1,35,0.131639482,0.553236739,2,639,29,0.144159276,0.282596588
1,1,10,0.171566953,0.532842065,1,285,31,0.186410251,0.268191692
2,1,22,0.144946579,0.533840804,2,483.5,31,0.062782942,0.265396022
3,1,38,0.086988735,0.54753873,1,981,31,0.230397291,0.266360905
4,1,37,0.118693818,0.556386992,1,342,31,0.227331372,0.286776073
5,1,21,0.195544012,0.566461291,5,455.2,29,0.076361812,0.335802903
6,1,2,0.116570203,0.562076054,4,493.5,31,0.201428133,0.29104621
7,1,24,0.148821586,0.533233069,6,460.8333333,29,0.125132021,0.268047574
8,1,39,0.130045127,0.539169186,0,,31,0.235980818,0.269942573
9,1,40,0.104464978,0.561939006,1,1050,31,0.22758107,0.286651395
10,1,53,0.13580657,0.519616861,1,395,31,0.142794839,0.246938116
11,1,64,0.129245213,0.54638958,2,365,31,0.208176304,0.27766875
12,2,1,0.11789213,0.525406863,11,1697.636364,33,0.332436793,0.251933171
13,2,3,0.095183281,0.55353617,11,1082.818182,33,0.293270768,0.27804459
14,3,150,0.186129826,0.531761218,12,670.0833333,31,0.170297283,0.298866904
15,3,81,0.095403473,0.58402363,6,894.1666667,31,0.219765489,0.311226832
16,3,4,0.14104184,0.56744266,5,665,31,0.26603486,0.305885679
17,3,36,0.145922155,0.524298364,6,603.3333333,31,0.273154649,0.258054888
18,3,63,0.117611459,0.561470254,8,805.25,33,0.279866476,0.288893712
19,3,64,0.153585982,0.536048924,7,378.1428571,31,0.212753478,0.271118528
20,3,82,0.121333863,0.584079682,10,492.6,31,0.255956378,0.316240685
21,3,102,0.134145623,0.572777534,6,373.5,31,0.233710509,0.317269674
22,3,118,0.10253179,0.581686593,6,458.1666667,31,0.179004212,0.312931005
23,3,129,0.131796011,0.542509376,11,634.0909091,31,0.247272845,0.266447314
24,3,151,0.161208449,0.515364849,9,501.2222222,33,0.207155404,0.260973439
25,3,18,0.11413857,0.542718314,9,748.2222222,31,0.25118799,0.273405985
26,3,116,0.163758899,0.53460584,12,549.0833333,31,0.167245546,0.276518117
27,3,141,0.135989207,0.557580735,4,750.25,31,0.088946101,0.302304855
28,3,79,0.107262077,0.541192088,10,544,31,0.232800073,0.266059676
29,3,2,0.143295328,0.559223334,8,498.625,31,0.201765941,0.294783979
30,3,65,0.155323943,0.570417676,10,618.5,31,0.220256033,0.312966444
31,3,34,0.152686968,0.569421503,7,706,29,0.192256392,0.316399447
32,3,101,0.104342407,0.557789942,12,380.25,31,0.294088755,0.282073031
33,3,35,0.107039886,0.569788316,8,379.25,31,0.204227313,0.295301131
34,3,80,0.117713429,0.530852729,3,1236.666667,31,0.272067024,0.25789892
35,3,51,0.14977883,0.553467477,9,705.4444444,31,0.196766008,0.288599555
36,3,52,0.12071411,0.60247848,14,859.5,31,0.174325106,0.35790388
37,3,117,0.124040334,0.567374765,8,639,31,0.136200891,0.295858824
38,3,3,0.133423101,0.548385335,14,603.1428571,29,0.245520731,0.285955632
39,3,19,0.138038539,0.569349962,9,834,31,0.207528304,0.303718127
40,3,50,0.119452224,0.581254193,10,872.3,31,0.209364387,0.325573582
41,3,78,0.094511595,0.602963028,10,502.1,31,0.211968194,0.340460745
42,3,77,0.106665351,0.57762353,9,444.6666667,31,0.25841132,0.30122664
43,3,100,0.124933285,0.586316708,8,1182.875,31,0.2640549,0.331584241
44,3,1,0.126913844,0.570374155,4,847,29,0.182045352,0.309416841
45,3,115,0.110113252,0.552061225,10,456.8,33,0.197367898,0.273028551
46,3,130,0.120665867,0.547548623,7,543.5714286,31,0.138553114,0.276354139
47,3,53,0.144138635,0.571450457,7,599.8571429,31,0.186551566,0.31315356
48,3,98,0.137811381,0.553569418,13,532,31,0.227653656,0.288365201
49,3,142,0.165155841,0.550989775,10,958.3,31,0.124202878,0.303178206
50,3,33,0.114892579,0.580785279,8,535.875,33,0.305350893,0.31504588
51,3,99,0.102226661,0.581774159,7,557.2857143,31,0.24524617,0.31062887
52,3,20,0.143167558,0.538948128,9,485.6666667,31,0.23141963,0.268409414
53,3,140,0.128740567,0.544505023,7,533.8571429,33,0.132448635,0.27573585
54,3,131,0.101113924,0.578280816,11,583.1818182,31,0.128427816,0.305817119
55,4,112,0.139416942,0.573469541,10,3093.5,35,0.14892696,0.337332064
56,4,34,0.151893388,0.603841786,13,2454.692308,33,0.178762757,0.414250207
57,4,45,0.094634249,0.572703977,12,2570.166667,37,0.269238134,0.29939054
58,4,2,0.172916931,0.540539116,10,3960.7,35,0.281593413,0.295865137
59,4,87,0.114840592,0.59259577,20,1389.4,35,0.162711654,0.358669643
60,4,13,0.123870154,0.579504671,18,2117.777778,35,0.130716106,0.343738147
61,4,86,0.107551021,0.603734683,12,3169.75,35,0.235427248,0.36659496
62,4,85,0.112473857,0.573843544,9,977,37,0.271750077,0.315535012
63,4,73,0.08724817,0.60128919,13,2992,33,0.26465711,0.350718689
64,4,47,0.163377628,0.532813701,11,2277.545455,35,0.165725006,0.291543118
65,4,113,0.096142287,0.589105041,17,1900.352941,33,0.082152388,0.332695045
66,4,60,0.120772584,0.590711491,14,2699.642857,35,0.201884868,0.364033052
67,4,72,0.107677537,0.536641052,15,1103.066667,33,0.37747467,0.266230699
68,4,1,0.089256099,0.580125696,19,1593.052632,35,0.299384484,0.322099524
69,4,125,0.109799977,0.581083295,12,2564.666667,37,0.232354421,0.319875805
70,4,12,0.125940226,0.585430183,12,1994.166667,35,0.130712349,0.350692982
71,4,46,0.106005897,0.596600048,15,2540.2,35,0.108944124,0.356170459
72,4,128,0.121279715,0.547513939,10,2156.7,37,0.262186198,0.290002742
73,4,126,0.104027503,0.552871008,15,1406,37,0.201859559,0.278302627
74,4,99,0.098563457,0.584433749,12,2128.916667,37,0.25663627,0.32500843
75,4,111,0.104104694,0.587933725,12,1960.333333,37,0.216289725,0.331057666
76,4,71,0.100784146,0.590226152,18,2296.222222,33,0.240964136,0.339564374
77,4,127,0.078939482,0.585454719,14,2521.5,35,0.181911577,0.316546586
78,4,88,0.100997384,0.577320208,14,2442.214286,35,0.216504886,0.318042336
79,4,74,0.100145442,0.562613544,14,2116.642857,35,0.374223757,0.293277656
80,4,59,0.132052238,0.580740157,13,2209.923077,35,0.246395935,0.348354228
81,6,32,0.101663586,0.603473782,10,863.7,33,0.151100345,0.34911397
82,6,145,0.102068303,0.623578513,15,855.6666667,29,0.183866014,0.392110653
83,6,46,0.08355237,0.609444907,4,363.5,31,0.123277815,0.354155083
84,6,102,0.081867811,0.619697608,10,487.5,31,0.191554741,0.368830324
85,6,91,0.14257255,0.593646732,10,775.6,31,0.135058276,0.353366319
86,6,57,0.09186669,0.614535276,10,1055.7,31,0.24917918,0.363591365
87,6,1,0.093620974,0.597374656,7,719.4285714,33,0.186214171,0.338252138
88,6,58,0.093226515,0.59976885,13,871.2307692,33,0.166339284,0.338151396
89,6,143,0.136784861,0.573083468,5,1738.4,31,0.169978586,0.324776766
90,6,59,0.106113712,0.591072404,10,613.4,33,0.106389596,0.331004454
91,6,19,0.096679461,0.616158586,12,768.0833333,33,0.171302329,0.370200764
92,6,72,0.091538144,0.609857715,9,856.8888889,33,0.136484069,0.353809788
93,6,74,0.10447026,0.617396346,8,1799.5,33,0.124992253,0.372647445
94,6,104,0.097028997,0.61214551,12,1163.666667,33,0.106224487,0.357000246
95,6,61,0.140225339,0.572408956,9,677,33,0.113960865,0.318387718
96,6,117,0.128766493,0.603459987,9,1461.777778,31,0.18745953,0.364286124
97,6,157,0.167464456,0.56336527,12,544.6666667,33,0.097626982,0.329271375
98,6,130,0.115845972,0.570521054,10,1061.6,31,0.225508228,0.30421574
99,6,156,0.146328669,0.591458975,17,603.2352941,31,0.140549267,0.374087245
100,6,90,0.094057545,0.627443063,14,1115.571429,31,0.140534786,0.390674073
101,6,116,0.101119054,0.606200017,16,1443.6875,33,0.242741023,0.356447679
102,6,35,0.101994235,0.604889653,15,1375.6,33,0.14087134,0.353102742
103,6,88,0.094542769,0.611037245,9,557.3333333,31,0.132300059,0.361881219
104,6,20,0.095966188,0.604485512,6,658.8333333,31,0.069348362,0.355139979
105,6,48,0.097127919,0.6119891,9,763.4444444,33,0.184501021,0.361845391
106,6,6,0.110926567,0.6027662,12,1006.666667,35,0.249818888,0.340228389
107,6,2,0.104167307,0.604461964,11,1238,33,0.135703056,0.347365639
108,6,132,0.128780019,0.58245402,11,1549.909091,31,0.202702851,0.331543405
109,6,3,0.108748211,0.585395936,9,706,31,0.13456485,0.324853485
110,6,60,0.100717231,0.602492001,9,1275.444444,33,0.185126039,0.343439399
111,6,4,0.11528731,0.589187765,8,723.125,33,0.074352245,0.33659174
112,6,18,0.098729245,0.619773371,7,755,33,0.14844149,0.375240646
113,6,77,0.132021591,0.593430479,11,888.1818182,31,0.029287541,0.347717241
114,6,5,0.102886779,0.604364557,7,1443.571429,33,0.088931976,0.35182702
115,6,34,0.102697478,0.609316409,7,2058.428571,33,0.095446582,0.361400752
116,6,131,0.106171853,0.581954155,14,1245.571429,31,0.287867217,0.320432033
117,6,49,0.113151217,0.589910803,10,614.2,33,0.054008802,0.33798342
118,6,17,0.089677227,0.611589858,7,643.8571429,31,0.129806578,0.363501798
119,6,115,0.123199306,0.600497303,5,1067.8,33,0.235170915,0.354701728
120,6,22,0.094108207,0.607542336,11,1134.727273,33,0.078353133,0.353304003
121,6,144,0.103784371,0.59133864,14,1255.928571,31,0.12831603,0.33033213
122,6,21,0.096093234,0.607197337,8,886.875,33,0.024902312,0.353423504
123,6,56,0.093007751,0.609444966,10,886.9,33,0.186741629,0.353319171
124,6,89,0.078132998,0.623996192,9,915.8888889,31,0.20379048,0.374955123
125,6,76,0.088667699,0.600259027,10,505.1,35,0.161353457,0.332202495
126,6,101,0.09933215,0.603521246,11,791.7272727,33,0.151127673,0.344326579
127,6,103,0.108250423,0.590477874,9,954.5555556,33,0.106338974,0.33009943
128,6,33,0.084481005,0.622757582,15,1022.533333,31,0.22727621,0.378536965
129,6,73,0.089976779,0.620087867,9,2189.555556,31,0.219821643,0.37600392
130,6,118,0.101030379,0.602187563,8,1119.125,31,0.179284157,0.34992971
131,7,97,0.074357581,0.612221317,10,1447.3,35,0.279643358,0.341995188
132,7,74,0.069651509,0.60020254,10,1632.5,35,0.252709884,0.321956447
133,7,50,0.06984658,0.615437235,8,1409.5,35,0.295595531,0.346383518
134,7,2,0.067180782,0.616965014,10,1459.3,35,0.304171221,0.349010302
135,7,39,0.067920364,0.600068034,11,1524.818182,35,0.274524144,0.32238917
136,7,49,0.068637961,0.613421512,9,2735.111111,37,0.30914941,0.343839694
137,7,65,0.0792514,0.61704045,6,1995.666667,35,0.308789772,0.354147191
138,7,15,0.099027762,0.602347474,5,2454.2,35,0.313129632,0.336005583
139,7,51,0.095319848,0.600993334,9,1037.777778,35,0.358803574,0.335929774
140,7,99,0.078949056,0.612830591,15,1385.133333,37,0.346561164,0.349230046
141,7,31,0.069079067,0.598088316,11,2313.272727,35,0.318298501,0.325214181
142,7,14,0.083502086,0.607814584,12,1298.25,35,0.365697375,0.338331892
143,7,64,0.073586734,0.611409947,11,1144.363636,35,0.349086839,0.341148601
144,7,96,0.063488176,0.610998418,10,1295.1,35,0.312986786,0.335938805
145,7,87,0.064959897,0.597555251,10,1923.9,35,0.244957297,0.318625776
