,Sheep,Image,Lacunarity
0,1,35,0.13163948221078395
1,1,10,0.17156695287885956
2,1,22,0.14494657877217096
3,1,38,0.0869887351525983
4,1,37,0.11869381848144966
5,1,21,0.19554401160392992
6,1,2,0.11657020330156807
7,1,24,0.148821585761041
8,1,39,0.13004512739841606
9,1,40,0.10446497814624234
10,1,53,0.13580657012164637
11,1,64,0.12924521269488848
12,2,1,0.117892129870603
13,2,3,0.09518328132452789
14,3,150,0.18612982579096404
15,3,81,0.09540347302709927
16,3,4,0.1410418396302443
17,3,36,0.1459221554398241
18,3,63,0.11761145885806663
19,3,64,0.15358598164317425
20,3,82,0.1213338630851301
21,3,102,0.13414562344581227
22,3,118,0.1025317903752542
23,3,129,0.13179601112105407
24,3,151,0.1612084486013534
25,3,18,0.11413857039668909
26,3,116,0.16375889936053775
27,3,141,0.13598920676540507
28,3,79,0.10726207715436775
29,3,2,0.14329532783560683
30,3,65,0.1553239425602425
31,3,34,0.15268696790075922
32,3,101,0.1043424068287483
33,3,35,0.10703988644211569
34,3,80,0.11771342945669969
35,3,51,0.1497788296306871
36,3,52,0.12071410950734268
37,3,117,0.12404033362500491
38,3,3,0.1334231014660105
39,3,19,0.13803853875971875
40,3,50,0.11945222399391979
41,3,78,0.09451159527492492
42,3,77,0.10666535065574971
43,3,100,0.12493328478745076
44,3,1,0.1269138436271775
45,3,115,0.11011325220359765
46,3,130,0.12066586733726806
47,3,53,0.14413863547056482
48,3,98,0.13781138104825694
49,3,142,0.16515584088048477
50,3,33,0.1148925792032835
51,3,99,0.10222666110502417
52,3,20,0.14316755774637044
53,3,140,0.12874056728315486
54,3,131,0.1011139243709455
55,4,112,0.13941694215405204
56,4,34,0.1518933882690022
57,4,45,0.09463424884797572
58,4,2,0.1729169307842003
59,4,87,0.11484059213475795
60,4,13,0.12387015371019881
61,4,86,0.10755102063008476
62,4,85,0.11247385653563378
63,4,73,0.08724817029353377
64,4,47,0.16337762778167045
65,4,113,0.09614228737983838
66,4,60,0.12077258444501651
67,4,72,0.10767753748992698
68,4,1,0.08925609902639475
69,4,125,0.10979997719538237
70,4,12,0.12594022631802448
71,4,46,0.1060058970481516
72,4,128,0.1212797146280636
73,4,126,0.10402750259367499
74,4,99,0.09856345661553291
75,4,111,0.10410469352903882
76,4,71,0.1007841464604763
77,4,127,0.07893948166788622
78,4,88,0.10099738401847076
79,4,74,0.10014544211447435
80,4,59,0.13205223794347193
81,6,32,0.10166358568075891
82,6,145,0.10206830279659089
83,6,46,0.083552369699997
84,6,102,0.08186781145788308
85,6,91,0.14257254988879467
86,6,57,0.09186668975002148
87,6,1,0.0936209743839151
88,6,58,0.09322651498048085
89,6,143,0.13678486068804938
90,6,59,0.10611371228566295
91,6,19,0.09667946143452541
92,6,72,0.09153814434511023
93,6,74,0.10447026015451302
94,6,104,0.09702899702120585
95,6,61,0.14022533896607145
96,6,117,0.1287664934201953
97,6,157,0.16746445554980924
98,6,130,0.11584597218758912
99,6,156,0.146328668889292
100,6,90,0.0940575454634052
101,6,116,0.10111905449474133
102,6,35,0.10199423519792375
103,6,88,0.09454276888747824
104,6,20,0.09596618788003264
105,6,48,0.09712791932890345
106,6,6,0.11092656693577692
107,6,2,0.10416730703278963
