,Sheep,Image,Entropy
0,11,47,0.5707640769010948
1,19,47,0.6451265479992476
2,26,47,0.6506438885899826
3,30,47,0.6265179395927931
4,44,47,0.6314827874236764
5,45,47,0.6273164189445567
6,52,47,0.6185593105416162
7,54,47,0.5973055650519987
8,57,47,0.6341433817285513
9,58,47,0.6058801365096582
10,60,47,0.5817624328142379
11,68,47,0.5937074363375419
12,70,47,0.6033544616783035
13,74,47,0.5598164817334533
14,101,47,0.6416802912048682
15,102,47,0.6165737642106222
16,104,47,0.6184499220777918
17,105,47,0.6180560988436873
18,106,47,0.6465679561479687
19,109,47,0.6267971476231493
20,113,47,0.6380218145303986
21,114,47,0.6319117203339819
22,115,47,0.6367150024819783
23,117,47,0.6000266573539366
24,118,47,0.6036962524493781
25,120,47,0.587988833973987
26,122,47,0.6257169746697147
27,126,47,0.5812094540770072
28,128,47,0.6292330491923802
29,129,47,0.6143261760452049
30,132,47,0.6166813601261024
31,133,47,0.6408719621195387
32,135,47,0.5278783850731155
33,137,47,0.5686606609354745
34,138,47,0.6191245851677609
35,139,47,0.6235579011246655
36,143,47,0.6100249169091984
37,148,47,0.5407404777930791
