,Sheep,Image,stdEntropy
0,1,35,0.12995342980144836
1,1,10,0.143239535049007
2,1,22,0.1357594535386162
3,1,38,0.1168575904966741
4,1,37,0.12374428084349116
5,1,21,0.15549932780723855
6,1,2,0.12111815574060479
7,1,24,0.13832584046004048
8,1,39,0.13110896304692235
9,1,40,0.11857364900564801
10,1,53,0.13746365872003885
11,1,64,0.12985834260101614
12,2,1,0.13846702932859536
13,2,3,0.12421823831178032
14,3,150,0.15551047422194816
15,3,81,0.10975524363652031
16,3,4,0.12834223669263067
17,3,36,0.14078060662500905
18,3,63,0.12046317460263735
19,3,64,0.1379527819493476
20,3,82,0.11563629008262408
21,3,102,0.12749125946528542
22,3,118,0.11363647024258555
23,3,129,0.132596674599641
24,3,151,0.1487658034121991
25,3,18,0.12893777164856707
26,3,116,0.14217880057623258
27,3,141,0.13377918095618527
28,3,79,0.12493877693557771
29,3,2,0.13124840965453827
30,3,65,0.13162823048125424
31,3,34,0.13393548909816555
32,3,101,0.11839546845418636
33,3,35,0.11927367563253605
34,3,80,0.13436956688020615
35,3,51,0.13422100711046211
36,3,52,0.11725857629307726
37,3,117,0.12305047057038412
38,3,3,0.1337458036066127
39,3,19,0.12588915489660754
40,3,50,0.12012035651733019
41,3,78,0.10089711074523625
42,3,77,0.11238784059885058
43,3,100,0.1228721278865288
44,3,1,0.1214233827172328
45,3,115,0.11927471178454518
46,3,130,0.12809898235805375
47,3,53,0.12896134883365207
48,3,98,0.13331292977262474
49,3,142,0.14323832580662849
50,3,33,0.1179524753271704
51,3,99,0.11140921266786209
52,3,20,0.1331265124382777
53,3,140,0.13115157783340178
54,3,131,0.11334494067728064
55,4,112,0.13137528421948752
56,4,34,0.1176997116867315
57,4,45,0.11389342089866147
58,4,2,0.14568645460308144
59,4,87,0.11755439925552885
60,4,13,0.12443851979935085
61,4,86,0.11171027680390934
62,4,85,0.11975048101807372
63,4,73,0.10237562480095135
64,4,47,0.1470840020302086
65,4,113,0.11087358041844454
66,4,60,0.1175329286408706
67,4,72,0.13017179105099536
68,4,1,0.11785661986190794
69,4,125,0.11696100802751641
70,4,12,0.11705570984785113
71,4,46,0.11171434504998144
72,4,128,0.13230758614754004
73,4,126,0.121682684285394
74,4,99,0.11602231338514081
75,4,111,0.11139421338823213
76,4,71,0.10497767441030241
77,4,127,0.11000244982013103
78,4,88,0.11500912700988011
79,4,74,0.11651048927441543
80,4,59,0.12061302279588226
81,6,32,0.1070022049046084
82,6,145,0.1037389421215884
83,6,46,0.09817749371856284
84,6,102,0.09447402997042159
85,6,91,0.1217508998919495
86,6,57,0.09967202540299032
87,6,1,0.10458892339532803
88,6,58,0.10579715490862446
89,6,143,0.12824206622644574
90,6,59,0.11240620945507249
91,6,19,0.1004542347533549
92,6,72,0.10050444788068379
93,6,74,0.1066518998608856
94,6,104,0.0994826668023317
95,6,61,0.1268060629887085
96,6,117,0.12258299071746494
97,6,157,0.13819172099782034
98,6,130,0.12043554935407864
99,6,156,0.1257587944221232
100,6,90,0.09822815913354983
101,6,116,0.10675024967854983
102,6,35,0.10431045788166092
103,6,88,0.10161618947631208
104,6,20,0.10371798591874747
105,6,48,0.10244361595896927
106,6,6,0.10518272510584073
107,6,2,0.10411570762087592
108,6,132,0.12511681229489277
109,6,3,0.11405987309956064
110,6,60,0.1072145545230279
111,6,4,0.11352911170678698
112,6,18,0.09996990270400183
113,6,77,0.12538545928766995
114,6,5,0.10689279480554421
115,6,34,0.10356490539561046
116,6,131,0.1166826059095376
117,6,49,0.11419952365896789
118,6,17,0.10050920704394833
119,6,115,0.1152724032406973
120,6,22,0.10147552971873455
121,6,144,0.11112612875858559
122,6,21,0.1032686737497781
123,6,56,0.10272975848353862
124,6,89,0.08803110563557331
125,6,76,0.10190981450707406
126,6,101,0.10666832161273296
127,6,103,0.11159765675782127
128,6,33,0.09338236683993258
129,6,73,0.09935495067458858
130,6,118,0.10928049258004345
131,7,97,0.09291022711002295
132,7,74,0.09247640583609694
133,7,50,0.08784791971807414
134,7,2,0.0871927247329408
135,7,39,0.09327265937973848
136,7,49,0.08995007792252734
137,7,65,0.09003581616563874
138,7,15,0.10431166780963166
139,7,51,0.10824441569335448
140,7,99,0.0930986981838269
141,7,31,0.09783814504338978
142,7,14,0.09850626278578067
143,7,64,0.09147659048180158
144,7,96,0.08759446426594258
145,7,87,0.0926897026743229
146,7,52,0.10146086936505001
147,7,98,0.10139808030071056
148,7,1,0.09305898190142568
149,7,75,0.08943031577177106
150,8,40,0.1093614744846754
151,8,1,0.08416104354778216
152,8,1,0.11984247533194041
153,8,18,0.11050285600445704
154,8,11,0.09727665340087767
155,8,46,0.07584469328922436
156,8,39,0.08459136588499984
157,8,19,0.08034711036121144
158,8,47,0.07821496186704273
159,8,27,0.08766559310228567
160,8,29,0.08186590333142023
161,8,28,0.0823268953289746
162,9,6,0.09295987587998002
163,9,12,0.07324823453872746
164,9,2,0.07564923123186439
165,9,1,0.08047207647924326
166,9,20,0.07570669283213956
167,10,35,0.10261836677199859
168,10,49,0.0733198267160192
169,10,59,0.11830616500548707
170,10,58,0.10261392362695441
171,11,64,0.10609743304202628
172,11,144,0.12966915726517347
173,11,159,0.13129848318125326
174,11,20,0.10324456603396143
175,11,34,0.11605500450601398
176,11,62,0.1083733498061275
177,11,131,0.11852466805410614
178,11,93,0.11340444413564663
179,11,78,0.11904905021414294
180,11,63,0.1062733660126566
181,11,161,0.10791387546200747
182,11,48,0.1013690950379146
183,11,92,0.0993392301779619
184,11,49,0.10557030407341327
185,11,121,0.1196325969479191
186,11,32,0.11211385997887396
187,11,143,0.11100246230117301
188,11,145,0.13978636859562593
189,11,106,0.12590941667694783
190,11,162,0.1271559468912669
191,11,94,0.11065153821086507
192,11,160,0.12989796570904902
193,11,108,0.10615065089679458
194,11,18,0.11530491995765596
195,11,2,0.11287114067786909
196,11,120,0.09377445283829176
197,11,21,0.10239732882987916
198,11,33,0.10859962266605207
199,11,1,0.1070531986275129
200,11,19,0.10276192107742403
201,11,77,0.10032880183007767
202,11,4,0.10580929555636565
203,11,35,0.11459522223227393
204,11,79,0.09737237329035525
205,11,107,0.11161137906600001
206,11,47,0.10918522335932708
207,11,3,0.1217737600985979
208,12,118,0.09975664014679109
209,12,69,0.10252304111873621
210,12,141,0.08148899779925016
211,12,80,0.0985274858920946
212,12,116,0.08298765916980863
213,12,167,0.1245939316991414
214,12,150,0.09685352481949998
215,12,152,0.11441801419099747
216,12,165,0.1204096669355491
217,12,71,0.11507733433029871
218,12,202,0.09349271738469997
219,12,181,0.08296125755594397
220,12,191,0.0961211691691414
221,12,117,0.10294525670649084
222,12,201,0.1131421159639868
223,12,83,0.11761137813673322
224,12,178,0.09510326915604607
225,12,67,0.07559300081723848
226,12,82,0.09117516998050108
227,12,193,0.11248338007654525
228,12,164,0.10178702466870031
229,12,166,0.09469291553680714
230,12,179,0.0812470290255169
231,12,95,0.12685973394536923
232,12,104,0.10792002473179751
233,12,151,0.09505437010455098
234,12,192,0.09331347646737388
235,12,70,0.10008549549764575
236,12,180,0.08629487662975945
237,12,68,0.09770493604689108
238,12,81,0.06989235135383402
239,12,103,0.11459956786309838
240,13,250,0.10338927338505956
241,13,257,0.0915941653109186
242,13,249,0.09937273675043906
243,13,224,0.10399082607938669
244,13,217,0.0904543217937707
245,13,240,0.10272286986941524
246,13,256,0.11065875355855902
247,13,233,0.09697666519430684
248,13,232,0.10487200429154662
249,14,113,0.10481526117366712
250,14,95,0.09934315304083462
251,14,53,0.08663308740242702
252,14,96,0.11244138982491118
253,14,141,0.11049007231677042
254,14,112,0.09751252740991334
255,14,157,0.13031049601553119
256,14,32,0.09884029921886582
257,14,51,0.10573929312138082
258,14,31,0.0891160747720758
259,14,144,0.1209976928306448
260,14,19,0.09909835488118816
261,14,30,0.09741086646815787
262,14,4,0.10330502497976883
263,14,143,0.12147364470625055
264,14,155,0.14541779249458003
265,14,98,0.09853893238195528
266,14,52,0.10786247129978899
267,14,129,0.08757698731217023
268,14,100,0.09449845369009259
269,14,125,0.09594416101461652
270,14,142,0.10212184010725853
271,14,140,0.10377190495792482
272,14,18,0.09830248911692492
273,14,67,0.10114365720273945
274,14,68,0.10968573721206995
275,14,99,0.09658410038386618
276,14,114,0.10405767672833668
277,14,3,0.1042693450331629
278,14,126,0.11333553681362708
279,14,5,0.0880202179226852
280,14,2,0.09390558385317244
281,14,44,0.10411500056187512
282,14,54,0.10254103611740303
283,14,65,0.09357761655845231
284,14,80,0.10983826399387653
285,14,82,0.1043274737813097
286,14,1,0.09537879854589632
287,14,17,0.09351669266667027
288,14,81,0.10971048573291461
289,14,94,0.0978592939685643
290,14,111,0.10367059249613399
291,14,66,0.10198386289786736
292,14,127,0.10951197728107506
293,14,128,0.08563467683395212
294,14,97,0.1159405756994679
295,14,50,0.09211735036847478
296,15,138,0.13498754704293442
297,15,95,0.10061782136536469
298,15,30,0.09419027372788799
299,15,70,0.08520317043917537
300,15,109,0.09848309504514949
