,Sheep,Image,Count,meanSize,stdSize
0,11,47,14,1706.7857142857142,1066.0539505626364
1,19,47,4,1104.75,1233.272754705949
2,26,47,9,1719.5555555555557,1166.842473526179
3,30,47,3,414.0,89.22256814655509
4,44,47,2,566.0,301.0
5,45,47,16,1244.8125,1259.950803541055
6,52,47,12,1157.9166666666667,991.9368644503317
7,54,47,5,1051.4,420.54279211514256
8,57,47,11,1512.5454545454545,1413.0094488287539
9,58,47,4,467.75,107.2529137133346
10,60,47,2,617.0,263.0
11,68,47,17,1162.9411764705883,1641.6304832691847
12,70,47,7,446.42857142857144,329.307436531734
13,74,47,0,,
14,101,47,19,1145.0,858.9242353696064
15,102,47,13,1395.3846153846155,797.3033915799256
16,104,47,23,1511.391304347826,1225.6165702680794
17,105,47,13,969.0,735.2712738532944
18,106,47,11,3611.0,3305.676632703205
19,109,47,10,1058.4,1139.0101140903007
20,113,47,5,426.0,138.4340998453777
21,114,47,12,699.5,696.4680538258737
22,115,47,4,390.5,79.52515325354614
23,117,47,13,1983.3076923076924,1618.539245721533
24,118,47,8,702.25,357.0223207307913
25,120,47,2,455.5,18.5
26,122,47,3,296.6666666666667,16.438437341250605
27,126,47,26,1110.8076923076924,1886.69707362712
28,128,47,18,2251.9444444444443,3264.504071102824
29,129,47,12,3907.9166666666665,4807.9951202542725
30,132,47,11,2661.5454545454545,1660.9363385335264
31,133,47,10,1336.9,973.8731385555307
32,135,47,39,1101.7948717948718,1599.5741930113966
33,137,47,13,1831.5384615384614,1632.0243029574613
34,138,47,17,1651.7058823529412,1002.0919744512056
35,139,47,20,1489.4,1634.1962978785627
36,143,47,16,1202.3125,1338.9041096522744
37,148,47,5,832.4,838.4925998480845
