,CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg,Directionality,DirectionalityVar,Entropy,EntropyVar,FociCount,FociCountVar,FociSize,FociSizeVar,Lacunarity,LacunarityVar,Scale,ScaleVar,TissueToSinusoid,TissueToSinusoidVar
1,AY579,16/03/12,117.0,Soay,4361.0,1.0,11.0,24.0,128.0,185.0,0.2314724784619097,0.003250476994677591,0.6189089983597994,0.0001491332027750571,14.394736842105264,7.028393351800548,2425.925300881609,494671.7710364335,0.1004940432733143,0.000575223322898083,33.526315789473685,3.512465373961229,0.37215672902393265,0.0003794357063058073
6,AR569,17/03/12,7.0,Soay,5107.0,1.0,9.0,20.6,118.0,171.0,0.3069079583422711,0.0017184394412225483,0.6081994510073198,4.7368680286465436e-05,9.894736842105264,5.567867036011086,1595.0779638490164,243601.3627706413,0.07584829809673718,0.00012108071713075612,35.421052631578945,0.6648199445984286,0.3388462796973145,0.00016265051957684457
8,AR073,3/3/2012,2.0,Soay,5127.0,1.0,9.0,17.2,114.0,169.0,0.3128537803838046,0.0003834943897166043,0.5394715168505535,0.00019781447410288644,11.0,0.0,1390.2272727272725,94500.34917355399,0.10653770559756544,0.00012892295057214537,33.0,0.0,0.26498888036283313,0.00017045155556713598
10,AR079,9/3/2012,94.0,Soay,5133.0,1.0,9.0,22.8,127.0,180.0,0.31833034805993715,0.0029974686511957064,0.5687430063868221,8.03963197901971e-05,9.590909090909092,8.332644628099171,902.0702326713689,114294.16915347682,0.10340581896830035,0.0003992184593587964,34.09090909090909,4.26446280991728,0.2957943773774707,0.00010854661612198905
12,AW530,8/3/2012,18.0,Soay,5420.0,2.0,8.0,42.0,136.0,195.0,0.21596424178626156,0.002414857217007031,0.5922829645452313,0.0001479827220701421,11.363636363636363,14.231404958677683,1309.6219068809978,256405.2961592691,0.12165729335237954,0.00038346441389453234,33.18181818181818,1.7851239669421788,0.3352264714264256,0.0003167870055994201
13,AW004,24/02/12,144.0,Soay,5422.0,2.0,8.0,36.4,135.0,196.0,0.15639656730713336,0.00168259603567907,0.6286085338892747,4.595315488087337e-05,17.1875,14.360677083333334,1103.6528285465408,84437.43961669707,0.09812946996931261,0.00017171861867475505,25.75,1.4375,0.41863591862464555,0.0008273600552175889
16,AW533,16/03/12,68.0,Soay,5443.0,1.0,8.0,22.1,123.0,179.0,0.2942571950911252,0.002973587154106788,0.6030451180269761,8.652237105704227e-05,13.902439024390244,7.063652587745398,1879.7212062706144,430722.528829648,0.10102594325539734,0.00025725466438226817,32.51219512195122,2.1035098155859995,0.34028865564616645,0.0002683838964178364
17,AW522,4/4/2012,11.0,Soay,5444.0,1.0,8.0,22.9,125.0,179.0,0.13711926567627858,0.002620177276336845,0.5746323003693377,0.0004931641926808737,9.837837837837839,6.7304601899196514,1976.4143624393623,505241.78362062253,0.1050990129480975,0.0005031932130741132,33.5945945945946,0.8356464572681108,0.30600201877904365,0.0008681136181468497
23,AW532,21/03/12,140.0,Soay,5510.0,1.0,8.0,24.7,128.0,188.0,0.0994030832812678,0.002414685979804865,0.6159082618303855,5.689041984346943e-05,11.083333333333334,9.57638888888889,1094.9173141174367,154038.33511500744,0.08304021734969244,0.00016000126162675333,31.11111111111111,0.4320987654320763,0.3525559722843375,0.00015026429105247097
24,AW588,22/02/12,58.0,Soay,5525.0,1.0,8.0,18.4,126.0,182.0,0.3151832017178893,0.003411385904803618,0.6033337408960878,4.569097878138723e-05,5.365853658536586,8.23200475907198,544.4077777777776,42129.457951828415,0.08173291784151089,8.804286873192606e-05,34.609756097560975,3.7501487209993662,0.3359122000540043,0.00011050394855018041
25,AW596,28/02/12,83.0,Soay,5530.0,1.0,8.0,21.4,114.0,168.0,0.2231507507308446,0.0015136440960083523,0.5953056763226307,6.326915344766112e-05,13.066666666666666,5.39555555555556,2261.041962111962,602065.7279053747,0.11257820002011182,0.00016771567340274443,31.533333333333335,0.7822222222222384,0.3451516212039379,0.0001517760675391185
26,AW594,8/4/2012,106.0,Soay,5531.0,1.0,8.0,22.0,125.0,184.0,0.210026691689743,0.006071422528410357,0.6410921162554832,4.079234708775914e-05,11.34,5.2644000000000055,2060.7548897899483,411361.32249036786,0.06921795449220197,0.00016812825159664814,32.48,1.569600000000064,0.40861043276624803,0.00010163639694305004
28,AW514,17/03/12,44.0,Soay,5593.0,1.0,8.0,23.6,125.0,179.0,0.2551122049680489,0.0030370826169663187,0.628335247657028,5.091435355225462e-05,5.871794871794871,8.31689677843524,1011.6126303183994,345304.68487938435,0.12069396333420777,0.00015860826405873383,31.564102564102566,3.2715318869164687,0.4635760837277945,0.0004848744942035155
31,AL041,1/3/2012,81.0,Soay,5768.0,2.0,7.0,36.9,136.0,194.0,0.5437411834473206,8.901398733292728e-07,0.5107550364831832,1.6603377097560806e-05,6.0,2.0,455.19166666666666,6579.790138888871,0.07691393094105106,2.1543095053011784e-05,35.666666666666664,0.8888888888888383,0.22863239057184156,1.0708262468785609e-05
34,AG040,13/03/12,10.0,Soay,6116.0,2.0,6.0,35.7,130.0,175.0,0.29383954616746893,0.003646840462399936,0.6064167394230153,0.0002659878649760028,8.25,5.6875,763.0733766233766,42252.86420433468,0.09828881999567943,0.0005956715226627246,38.0,1.0,0.3410702803352943,0.00027017980168579647
35,AG075,3/4/2012,27.0,Soay,6150.0,1.0,6.0,22.9,125.0,182.0,0.31104459942724183,0.008063081286108779,0.6204434999169898,8.47253503578851e-05,11.030303030303031,10.817263544536273,1667.3784199856386,266298.4349909325,0.08640495745602719,0.0003025533176334145,32.63636363636363,3.261707988980616,0.37642510753122665,0.0002823346981907664
38,AG578,25/02/12,143.0,Soay,6189.0,1.0,6.0,21.1,120.0,174.0,0.3112534655436139,0.0068588557486915875,0.6007278852040632,0.000504751865024966,17.729166666666668,15.822482638888877,1519.0856470368492,211309.12467773104,0.07656198708804461,0.0002605527555184517,31.75,1.4375,0.33262520837282605,0.0010749413194122888
39,AG132,23/03/12,84.0,Soay,6193.0,1.0,6.0,21.3,125.0,181.0,0.32773122322678583,0.0018208210027792664,0.596434328601124,6.532786267608406e-05,13.5,17.557692307692307,606.8084440856172,37489.45320149067,0.07726733720595338,0.0001842288450381943,33.0,4.0,0.3220485903260117,9.048802276905982e-05
41,BY157,15/03/12,80.0,Soay,6486.0,2.0,5.0,40.2,142.0,200.0,0.4202133133700472,0.010723946934563355,0.5639197355852645,1.6240721713578488e-06,10.5,6.25,1171.9567307692307,1061.569179918617,0.13661454173063714,0.001210168727569346,38.0,9.0,0.293061389222669,0.00013815015297785616
44,BO544,7/3/2012,41.0,Soay,6585.0,1.0,4.0,21.2,126.0,182.0,0.24171790014873176,0.0025982174909081612,0.6253909207287061,0.00011076240809609894,8.1875,12.02734375,858.9131124084248,276958.4868296097,0.12154440601299447,0.000532076599032703,29.3125,16.27734375,0.47957631962113045,0.0030943851513791643
45,BO530,4/4/2012,29.0,Soay,6588.0,1.0,4.0,21.9,123.0,180.0,0.5603944516902151,0.015116406631626366,0.6141467510911627,0.00017260434017520864,11.2,11.559999999999992,1906.0313791763795,226274.5867905192,0.08489213164822043,0.00019721897956106598,40.8,16.359999999999854,0.36628264963426205,0.0008481035406434189
46,BO034,21/03/12,118.0,Soay,6609.0,1.0,4.0,17.4,119.0,168.0,0.20257761977932282,0.0028770078833124657,0.6271893213389479,0.00012056053355824156,10.121212121212121,7.258034894398531,1294.3824903211266,213120.0370653974,0.1005330298162808,0.00036701671205132644,30.272727272727273,1.4104683195592687,0.3976741940511773,0.0004943110986361058
48,BO060,21/03/12,77.0,Soay,6646.0,1.0,4.0,23.3,119.0,174.0,0.2897557224998466,0.008843965891234328,0.6140390117558696,0.0005440915477813511,5.0,11.411764705882353,504.98610893075187,14732.935557922781,0.09492158075456747,0.0003369427646487024,36.294117647058826,21.148788927335666,0.37104339991526136,0.002020317895804963
50,BO126,26/02/12,33.0,Soay,6713.0,1.0,4.0,18.5,120.0,175.0,0.6781567124993889,0.00222689790158171,0.635642896204535,7.128569896983888e-05,10.764705882352942,7.003460207612454,1880.2149824032176,724926.8742562726,0.06023435786427343,0.0001820964043061254,51.23529411764706,5.121107266436036,0.37765813811923193,0.0002860087664663848
51,BO541,7/3/2012,56.0,Soay,6718.0,1.0,4.0,18.7,127.0,183.0,0.31919757323521153,0.013247983955758928,0.5807819088811229,0.00018491323898044913,5.416666666666667,5.631944444444445,667.219499559083,104070.37156720785,0.08516471701286037,0.00024890805738767935,33.72222222222222,4.700617283950527,0.3017667564516041,0.00023941381635449332
