CurrTag,DeathDate,Sheep,Category,ID,Sex,AgeAtDeath,Weight,Foreleg,Hindleg
AY592,15/02/12,100,Soay,4359,1,11,NA,NA,NA
AY579,16/03/12,117,Soay,4361,1,11,24,128,185
AO526,19/02/12,115,Soay,4628,1,10,NA,NA,NA
AR029,26/03/12,37,Soay,5084,1,9,NA,NA,NA
AR552,8/3/2012,74,Soay,5089,1,9,NA,NA,NA
AR562,10/2/2012,139,Soay,5103,1,9,NA,NA,NA
AR569,17/03/12,7,Soay,5107,1,9,20.6,118,171
AR068,8/3/2012,116,Soay,5121,1,9,NA,NA,NA
AR073,3/3/2012,2,Soay,5127,1,9,17.2,114,169
AR076,10/4/2012,35,Soay,5130,1,9,NA,NA,NA
AR079,9/3/2012,94,Soay,5133,1,9,22.8,127,180
AR556,11/4/2012,47,Soay,5152,1,9,NA,NA,NA
AW530,8/3/2012,18,Soay,5420,2,8,42,136,195
AW004,24/02/12,144,Soay,5422,2,8,36.4,135,196
AW534,13/03/12,52,Soay,5427,1,8,NA,NA,NA
AW507,7/3/2012,42,Soay,5433,1,8,NA,NA,NA
AW533,16/03/12,68,Soay,5443,1,8,22.1,123,179
AW522,4/4/2012,11,Soay,5444,1,8,22.9,125,179
AW512,7/3/2012,70,Soay,5447,1,8,NA,NA,NA
AW516,29/03/12,36,Soay,5459,1,8,NA,NA,NA
AW591,17/03/12,142,Soay,5460,1,8,NA,NA,NA
AW063,29/02/12,19,Soay,5480,2,8,NA,NA,NA
AW517,8/3/2012,132,Soay,5506,1,8,NA,NA,NA
AW532,21/03/12,140,Soay,5510,1,8,24.7,128,188
AW588,22/02/12,58,Soay,5525,1,8,18.4,126,182
AW596,28/02/12,83,Soay,5530,1,8,21.4,114,168
AW594,8/4/2012,106,Soay,5531,1,8,22,125,184
AW531,13/02/12,5,Soay,5562,1,8,NA,NA,NA
AW514,17/03/12,44,Soay,5593,1,8,23.6,125,179
AW279,11/3/2012,30,Soay,5596,1,8,NA,NA,NA
AW196,26/02/12,4,Soay,5604,1,8,NA,NA,NA
AL041,1/3/2012,81,Soay,5768,2,7,36.9,136,194
AG002,24/03/12,59,Soay,6082,1,6,NA,NA,NA
AG025,28/02/12,65,Soay,6102,2,6,NA,NA,NA
AG040,13/03/12,10,Soay,6116,2,6,35.7,130,175
AG075,3/4/2012,27,Soay,6150,1,6,22.9,125,182
AG101,10/4/2012,128,Soay,6171,1,6,NA,NA,NA
AG585,25/03/12,69,Soay,6186,1,6,NA,NA,NA
AG578,25/02/12,143,Soay,6189,1,6,21.1,120,174
AG132,23/03/12,84,Soay,6193,1,6,21.3,125,181
BY085,24/02/12,136,Soay,6411,2,5,NA,NA,NA
BY157,15/03/12,80,Soay,6486,2,5,40.2,142,200
BY159,8/4/2012,32,Soay,6488,1,5,NA,NA,NA
BO005,19/02/12,15,Soay,6567,2,4,NA,NA,NA
BO544,7/3/2012,41,Soay,6585,1,4,21.2,126,182
BO530,4/4/2012,29,Soay,6588,1,4,21.9,123,180
BO034,21/03/12,118,Soay,6609,1,4,17.4,119,168
BO045,8/3/2012,3,Soay,6623,2,4,NA,NA,NA
BO060,21/03/12,77,Soay,6646,1,4,23.3,119,174
BO072,7/3/2012,91,Soay,6658,2,4,NA,NA,NA
BO126,26/02/12,33,Soay,6713,1,4,18.5,120,175
BO541,7/3/2012,56,Soay,6718,1,4,18.7,127,183
BO132,1/3/2012,129,Soay,6719,2,4,29.8,127,183
BO142,17/03/12,54,Soay,6729,2,4,NA,NA,NA
BO143,20/03/12,67,Soay,6730,1,4,22.5,122,178
OP286,12/3/2012,88,Soay,6780,1,NA,22.2,129,185
OP289,9/3/2012,135,Soay,6786,1,NA,NA,NA,NA
OP291,28/02/12,8,Soay,6810,2,NA,NA,NA,NA
BR029,29/02/12,130,Soay,6849,2,3,NA,NA,NA
BR581,7/3/2012,23,Soay,6859,1,3,23.9,130,190
BR050,1/3/2012,72,Soay,6868,2,3,27.9,132,189
BR071,1/3/2012,6,Soay,6886,2,3,30.9,130,191
BR087,9/2/2012,133,Soay,6898,2,3,28.4,124,175
BR093,26/03/12,86,Soay,6904,1,3,NA,NA,NA
BR101,25/03/12,89,Soay,6910,1,3,21.6,122,183
BR121,13/03/12,51,Soay,6928,1,3,18.2,120,177
BR585,17/02/12,78,Soay,6935,2,3,27.7,127,183
BR567,26/03/12,43,Soay,6971,1,3,17.3,112,170
BR573,3/4/2012,13,Soay,6972,1,3,20.5,125,180
BR574,22/02/12,93,Soay,6981,2,3,NA,NA,NA
OP296,7/3/2012,112,Soay,7074,1,NA,NA,NA,NA
OP297,15/02/12,131,Soay,7075,1,NA,NA,NA,NA
BO172,22/02/12,102,Soay,7097,2,4,NA,NA,NA
BW003,21/02/12,138,Soay,7107,2,2,NA,NA,NA
BW014,20/03/12,46,Soay,7116,1,2,NA,NA,NA
BW024,5/3/2012,1,Soay,7124,1,2,18.9,122,173
BW035,8/3/2012,62,Soay,7135,2,2,NA,NA,NA
BW038,19/02/12,17,Soay,7139,2,2,NA,NA,NA
BW039,23/03/12,107,Soay,7140,1,2,21.2,122,179
BW045,26/03/12,134,Soay,7146,1,2,NA,NA,NA
BW055,17/04/12,71,Soay,7155,1,2,NA,NA,NA
BW056,25/02/12,141,Soay,7156,2,2,31.1,134,191
BW122,20/03/12,137,Soay,7171,1,2,NA,NA,NA
BW074,8/3/2012,14,Soay,7209,2,2,28,128,182
BW098,29/02/12,50,Soay,7233,2,2,NA,NA,NA
BW223,9/3/2012,66,Soay,7253,1,2,NA,NA,NA
BW162,15/03/12,31,Soay,7349,2,2,NA,NA,NA
BL038,6/4/2012,108,Soay,7468,1,1,NA,NA,NA
BL086,17/03/12,55,Soay,7514,1,1,NA,NA,NA
BL106,24/03/12,28,Soay,7533,1,1,NA,NA,NA
BL126,25/03/12,105,Soay,7552,1,1,NA,NA,NA
BL130,9/3/2012,22,Soay,7556,1,1,NA,NA,NA
BL144,8/3/2012,79,Soay,7570,2,1,NA,NA,NA
BL239,16/03/12,39,Soay,7589,1,1,NA,NA,NA
OP320,4/4/2012,61,Soay,7708,1,NA,NA,NA,NA
BL296,8/3/2012,90,Soay,7717,1,1,12.4,104,154
BL158,4/4/2012,57,Soay,7727,2,1,17,129,178
BL174,8/3/2012,60,Soay,7736,2,1,NA,NA,NA
BG002,7/3/2012,109,Soay,8214,1,0,NA,NA,NA
BG007,20/03/12,25,Soay,8219,1,0,15.1,115,164
BG010,14/02/12,145,Soay,8222,2,0,NA,NA,NA
BG013,7/3/2012,111,Soay,8225,1,0,NA,NA,NA
BG014,12/3/2012,127,Soay,8226,1,0,NA,NA,NA
BG018,24/02/12,24,Soay,8228,2,0,12.3,107,157
BG022,25/02/12,113,Soay,8232,2,0,NA,NA,NA
BG024,26/02/12,92,Soay,8234,2,0,16.3,113,168
BG027,25/03/12,104,Soay,8237,1,0,13.1,118,157
BG035,20/02/12,26,Soay,8245,2,0,10.5,101,147
BG043,9/3/2012,40,Soay,8252,2,0,13.3,113,167
BG046,14/03/12,38,Soay,8255,1,0,12.3,112,160
BG048,9/3/2012,48,Soay,8257,1,0,11.3,114,153
BG059,22/02/12,73,Soay,8269,1,0,13.3,109,155
BG072,20/02/12,76,Soay,8282,2,0,12.5,106,156
BG078,9/2/2012,146,Soay,8287,2,0,NA,NA,NA
BG082,16/03/12,53,Soay,8291,1,0,NA,NA,NA
BG083,24/03/12,82,Soay,8292,1,0,12.3,102,148
BG100,19/02/12,87,Soay,8309,2,0,NA,NA,NA
BG108,19/02/12,16,Soay,8317,1,0,9.9,103,147
BG109,9/3/2012,9,Soay,8318,1,0,11.7,112,161
BG110,24/02/12,110,Soay,8319,1,0,12.3,112,161
BG113,15/03/12,49,Soay,8322,2,0,NA,NA,NA
BG116,29/02/12,12,Soay,8325,2,0,14.2,115,167
